Date,Price,Open,High,Low,Vol.,Change %
16-Feb-24,"51,919.00","51,901.40","52,556.70","51,612.60",63.47K,0.03%
15-Feb-24,"51,901.30","51,805.20","52,819.40","51,327.50",74.72K,0.23%
14-Feb-24,"51,782.40","49,708.60","52,010.70","49,263.80",80.35K,4.16%
13-Feb-24,"49,716.00","49,941.00","50,326.60","48,398.30",78.51K,-0.45%
12-Feb-24,"49,941.30","48,280.20","50,277.30","47,729.90",81.85K,3.45%
11-Feb-24,"48,277.30","47,759.30","48,531.60","47,590.20",36.50K,1.09%
10-Feb-24,"47,758.20","47,128.00","48,149.00","46,875.00",31.20K,1.34%
09-Feb-24,"47,127.50","45,293.30","48,118.80","45,254.20",98.11K,4.05%
08-Feb-24,"45,293.30","44,346.20","45,579.20","44,336.40",66.38K,2.15%
07-Feb-24,"44,339.80","43,088.40","44,367.90","42,783.50",48.57K,2.91%
06-Feb-24,"43,087.70","42,697.60","43,375.50","42,566.80",33.32K,0.91%
05-Feb-24,"42,697.20","42,581.40","43,532.20","42,272.50",39.26K,0.27%
04-Feb-24,"42,581.40","43,006.20","43,113.20","42,379.40",20.33K,-0.99%
03-Feb-24,"43,005.70","43,194.70","43,370.40","42,882.00",14.57K,-0.44%
02-Feb-24,"43,194.70","43,083.70","43,459.30","42,596.30",42.65K,0.26%
01-Feb-24,"43,081.40","42,580.10","43,263.10","41,890.50",47.69K,1.18%
31-Jan-24,"42,580.50","42,946.20","43,739.70","42,315.40",56.48K,-0.85%
30-Jan-24,"42,946.20","43,303.30","43,817.90","42,702.90",55.13K,-0.82%
29-Jan-24,"43,299.80","42,031.40","43,305.60","41,824.70",45.23K,3.02%
28-Jan-24,"42,030.70","42,121.30","42,817.10","41,649.00",32.53K,-0.21%
27-Jan-24,"42,120.90","41,811.50","42,191.80","41,413.00",20.46K,0.74%
26-Jan-24,"41,811.30","39,942.00","42,214.80","39,831.20",69.47K,4.70%
25-Jan-24,"39,935.70","40,085.10","40,285.80","39,546.30",46.30K,-0.37%
24-Jan-24,"40,086.00","39,891.30","40,535.20","39,510.00",58.64K,0.49%
23-Jan-24,"39,888.80","39,555.00","40,159.40","38,546.90",82.67K,0.84%
22-Jan-24,"39,556.40","41,581.70","41,684.90","39,468.40",85.10K,-4.87%
21-Jan-24,"41,583.20","41,695.40","41,878.00","41,504.50",16.11K,-0.27%
20-Jan-24,"41,695.40","41,647.60","41,858.00","41,449.50",22.27K,0.11%
19-Jan-24,"41,648.00","41,293.80","42,164.60","40,305.40",72.64K,0.86%
18-Jan-24,"41,292.70","42,763.50","42,908.00","40,682.60",70.35K,-3.45%
17-Jan-24,"42,768.70","43,139.10","43,192.30","42,211.80",50.44K,-0.87%
16-Jan-24,"43,145.50","42,515.20","43,563.70","42,093.10",63.93K,1.49%
15-Jan-24,"42,510.70","41,747.60","43,348.90","41,719.20",52.08K,1.83%
14-Jan-24,"41,746.10","42,851.30","43,069.40","41,739.60",37.14K,-2.58%
13-Jan-24,"42,851.30","42,836.70","43,248.60","42,443.30",48.18K,0.04%
12-Jan-24,"42,835.90","46,348.10","46,503.20","41,857.90",136.92K,-7.58%
11-Jan-24,"46,348.20","46,629.30","48,923.70","45,651.80",131.04K,-0.60%
10-Jan-24,"46,629.30","46,112.00","47,654.30","44,403.60",131.48K,1.08%
09-Jan-24,"46,129.00","46,959.20","47,880.10","45,333.90",100.09K,-1.77%
08-Jan-24,"46,962.20","43,934.20","47,196.70","43,251.00",103.09K,6.91%
07-Jan-24,"43,927.30","43,973.50","44,481.20","43,627.90",29.53K,-0.09%
06-Jan-24,"43,967.90","44,156.60","44,203.20","43,424.00",24.26K,-0.43%
05-Jan-24,"44,156.90","44,163.00","44,312.10","42,629.00",68.07K,0.00%
04-Jan-24,"44,157.00","42,836.10","44,744.50","42,632.80",68.05K,3.08%
03-Jan-24,"42,836.10","44,943.70","45,492.70","40,888.30",117.65K,-4.69%
02-Jan-24,"44,943.70","44,182.90","45,885.40","44,166.00",97.84K,1.72%
01-Jan-24,"44,183.40","42,272.50","44,187.00","42,196.70",36.30K,4.52%
31-Dec-23,"42,272.50","42,141.60","42,878.80","41,971.40",35.58K,0.32%
30-Dec-23,"42,136.70","42,074.70","42,592.20","41,527.30",35.18K,0.15%
29-Dec-23,"42,072.40","42,581.10","43,108.00","41,459.00",60.98K,-1.19%
28-Dec-23,"42,581.10","43,446.50","43,782.60","42,309.30",49.84K,-1.99%
27-Dec-23,"43,446.50","42,514.30","43,676.70","42,115.30",50.10K,2.20%
26-Dec-23,"42,513.30","43,579.90","43,594.90","41,796.60",56.03K,-2.44%
25-Dec-23,"43,578.50","42,982.00","43,792.70","42,745.30",32.67K,1.39%
24-Dec-23,"42,981.50","43,710.40","43,935.70","42,748.50",30.86K,-1.67%
23-Dec-23,"43,710.40","43,968.90","43,994.60","43,325.70",21.29K,-0.59%
22-Dec-23,"43,968.90","43,865.90","44,394.60","43,419.30",44.50K,0.23%
21-Dec-23,"43,865.90","43,660.30","44,241.80","43,310.20",48.96K,0.47%
20-Dec-23,"43,662.80","42,259.50","44,278.70","42,217.20",70.19K,3.32%
19-Dec-23,"42,259.30","42,659.70","43,473.30","41,842.70",55.29K,-0.94%
18-Dec-23,"42,659.70","41,369.10","42,728.00","40,554.00",61.58K,3.12%
17-Dec-23,"41,368.70","42,271.70","42,413.20","41,276.90",35.46K,-2.14%
16-Dec-23,"42,271.70","41,929.00","42,690.30","41,698.20",30.11K,0.82%
15-Dec-23,"41,929.00","43,025.20","43,080.70","41,697.90",45.28K,-2.55%
14-Dec-23,"43,025.90","42,886.30","43,392.70","41,591.20",59.15K,0.33%
13-Dec-23,"42,884.50","41,487.00","43,417.50","40,649.30",63.11K,3.37%
12-Dec-23,"41,487.00","41,256.10","42,070.90","40,691.50",57.04K,0.56%
11-Dec-23,"41,256.10","43,791.00","43,806.30","40,277.10",105.19K,-5.79%
10-Dec-23,"43,791.00","43,716.60","44,045.40","43,576.80",23.81K,0.17%
09-Dec-23,"43,718.40","44,175.50","44,361.20","43,617.40",31.67K,-1.03%
08-Dec-23,"44,175.50","43,288.30","44,697.60","43,108.40",58.44K,2.05%
07-Dec-23,"43,289.70","43,774.40","44,046.40","42,860.50",63.09K,-1.11%
06-Dec-23,"43,776.30","44,076.20","44,283.70","43,466.70",72.52K,-0.68%
05-Dec-23,"44,076.20","41,989.60","44,424.10","41,424.90",96.84K,4.97%
04-Dec-23,"41,987.80","39,968.60","42,394.40","39,968.60",104.21K,5.05%
03-Dec-23,"39,970.20","39,456.80","40,178.90","39,280.30",35.27K,1.30%
02-Dec-23,"39,458.40","38,688.20","39,673.40","38,646.50",37.09K,1.99%
01-Dec-23,"38,688.20","37,712.90","38,950.80","37,618.30",62.50K,2.59%
30-Nov-23,"37,712.90","37,857.60","38,144.40","37,509.20",33.53K,-0.38%
29-Nov-23,"37,855.50","37,823.30","38,362.90","37,607.60",49.34K,0.09%
28-Nov-23,"37,823.30","37,244.30","38,379.40","36,881.10",57.50K,1.54%
27-Nov-23,"37,248.60","37,451.80","37,563.30","36,751.50",45.24K,-0.54%
26-Nov-23,"37,451.80","37,786.40","37,819.10","37,166.30",29.20K,-0.89%
25-Nov-23,"37,787.00","37,718.60","37,887.40","37,599.90",16.09K,0.18%
24-Nov-23,"37,717.30","37,295.00","38,400.80","37,257.40",65.83K,1.14%
23-Nov-23,"37,293.10","37,410.80","37,642.50","36,915.30",32.35K,-0.31%
22-Nov-23,"37,410.80","35,797.50","37,862.50","35,695.60",64.81K,4.46%
21-Nov-23,"35,813.60","37,452.70","37,631.20","35,799.20",71.07K,-4.38%
20-Nov-23,"37,454.10","37,356.60","37,735.60","36,857.60",51.80K,0.27%
19-Nov-23,"37,354.20","36,568.60","37,504.60","36,393.30",26.14K,2.15%
18-Nov-23,"36,568.60","36,617.50","36,845.20","36,220.60",20.88K,-0.07%
17-Nov-23,"36,595.40","36,161.80","36,690.60","35,875.20",51.37K,1.20%
16-Nov-23,"36,161.20","37,873.90","37,907.60","35,561.60",66.92K,-4.52%
